group,name,rating,review
review,135446487,3,"一起来举报吧.游戏是好游戏,小妖怪很可爱,策划脑子不行,嘉年华伤透心,而且外挂横行,没办法解决游戏的平衡,而且存在误封严重,一起来捉妖,玩成了一起来举报,惭愧不.估计是新游戏,有时候存在一些bug比如说,有蛋的擂台有些玩家看不到蛋还能打,或者切宝宝蓝屏这些"
review,87420110,1,"辣鸡游戏.活这么久玩过最辣鸡的游戏,ch脑残,地域歧视,不公平公正,我为玩过这游戏感到自卑,感到耻辱."
review,李家7,3,"请更新.为什么灵石里面的妖灵不能自己来定呢,不然老是出有的妖灵,一点意思都没有了."
review,风清香1996,5,5星差评了解下.不花钱玩游戏.就不好玩.但是戒不掉.
review,嘤咛，,3,"一点也不人性化.模仿宝可梦完全没模仿像,宝可梦是可以走路捉精灵的,它这不能走,也不能走高速,准备卸载了"
review,我的世界苦力怕（学生党）,5,"反馈.能不能把游客的功能再扩大一点,连集市买东西都买不了."
review,马脓,2,"嘉年华真的是逼退.抓快两万了,比不上两天嘉年华"
review,航母编队3,2,"本来可以给4星的,我特么抓了快1万只才出一只满资质,人家嘉年华一天62只满资质,玩什么,凉了.凉了,这游戏"
review,音质没开始好了,4,"大致都很满意.就是妖灵背包太少了,养成空间也太少了"
review,小二很酷,5,"赞一下.我非常喜欢这个游戏,希望多点高资"
review,chris_chi,5,惊喜多多.看脸游戏一向玩不好但是捉妖使我快乐呀.😁😁😁
review,一路向阳625,5,"更新后下载不了也更新不了咋么回事.更新后我的苹果手机就更新不了了,删掉游戏后还是下载不了,怎么回事.有一样问题的么"
review,Rikki211,2,"江湖不见.没啥好说,准备退坑了.玩了三四个月了,41级连上活动给的,满资就三个.辛辛苦苦走了十几公里,灵石摇出来的全部都还不如我随手在街边抓的.接连几次拒宅日毫无新意.活动出现的妖毫无吸引力不说,大热的天去参加活动了,一只能发牌子的高资的都没有.分数低的当粮都觉得可怜,路边偶遇抓到的资质普遍都比活动的高,我还干嘛来参加你这个活动.这次嘉年华又是新妖又是高资的.但和广州以外地区的各位完全没啥关系.外地朋友就是想去,但一个周末为了个游戏跑那么远真不至于,咱还有工作生活呢.也不提飞机党开挂作弊多啥的了.这游戏我就当他是个单机,别人咋样都无所谓了.诸多不满累积,这游戏玩的既不平衡也不开心.散了算了,江湖不再见."
review,sjsjaka,1,"老玩家有感.被线下活动恶心到了,半年不及别人半天收获"
review,摁-,3,"进不去游戏.游戏中提示热刷打不了boss,我卸载重装一直卡在解压中（好多次了）,存储空间还有26g左右,,无语,,"
review,倾奈何做贼,3,"封号无底线.举报人多就封,好好一个游戏被ch玩死了"
review,一飞冲天2507,2,"游戏奖励不公平.游戏确实还是不错的,策划也很用心,但是,这个游戏对氪金玩家一点都不友好,充了钱比不充钱的没有多一点好处,反而出高资比不充钱玩家还少,周末活动也是,充了钱照样不出毕业妖灵,辛辛苦苦调班下午活动,两个小时都是垃圾妖灵,垃圾奖励,没有玩下去的动力,删游戏了."
review,我祝你游安康,2,"策划真是脑残.中午12点打擂台,11点半策划上班开始更新到下午,1个G的更新包没WiFi不能下载,晚上下班回家已经超时不能做日常,我玩你马了"
review,ZYTVD,3,"打开app的音乐声音太大了.每次点开游戏,背景音声音太大,安静的环境中吓一跳."
review,冰封的世界OL,5,"嘉年华活动真好.玩了四个月天天18买门票,人家一次120嘉年华活动一次搞定真好.这是好游戏"
review,48226255,1,"垃圾游戏.垃圾到不能再垃圾的游戏,除了会圈钱其他什么也不会,遇到问题,反馈给他,踏马得鸟都不鸟你.外挂满天飞也不管,还踏马默认开挂"
review,岛屿求生存,4,游戏就一般般而已..不能自己走害得我不能抓胡巴.所以不怎么好玩.
review,姽婳之久,3,"太累太辛苦.本来挺好一运动游戏,整得太累了,还成天打擂守擂,成天得抓,太累了,玩不动."
review,安徽一区紫蓬山剑过无痕到此一游,5,"5星为了让大家看到.这游戏是两天前下的,玩了3天今天下午上号提示被封10年😂,我不申诉了反正就玩了3天.我就是纳闷我是为啥被封的.我说到这里,肯定有人心里默念“挂逼还冤,再怎么解释你也肯给你开挂了.”但是你们细想苹果手机开挂多麻烦,我才玩3天都没懂游戏,我开挂干啥.谁会把一个无所谓有无得游戏账号,把手机越狱去开挂...你们品细品.我下载的时候就看到很多人说乱封号,我就想反正我不开挂,我不怕谁知我33岁的人了,有生终于尝了被游戏封号的滋味,还不是因为我开挂.言尽于此,大家保重."
review,大的反,2,"垃圾游戏,圈钱无底线.一个嘉年华毁了一个游戏,辛辛苦苦几个月不如人家1小时,垃圾游戏,第一次看到如此犯众怒的活动,圈钱无底线,垃圾.还老子打神灵买票钱."
review,李家7,3,"请更新.为什么灵石里面的妖灵不能自己来定呢,不然老是出有的妖灵,一点意思都没有了."
review,为毛要名字,5,"垃圾策划.捉妖四个月,不如广州一天游五星好评只为让你们看到"
review,difndkakfk,1,"垃圾游戏.封玩家的惩罚机制等于劝退玩家,降低游戏对玩家的吸引力,玩家退游主要是策划没有根据玩家需求改正错误失败的设计,同时没有设计出吸引玩家乐趣的游戏设计,说白了策划和美术很多时候都是闭门造车,即使客户玩家群体提出意见也装作听不见,封玩家机制等于和玩家成为对立面,同时不能解决冷门城市玩家无人组队打神灵,冷门城市玩家如同鬼蜮,不飞去热门城市怎么玩?结果策划不但不想办法解决问题就单一的锁头劝退玩家,真是服了,使用飞机的惩罚完全可以只锁一下不让打擂台.其他的不让打神灵,不让打各种怪和任务是什么鬼设计.只能不断的劝退玩"
review,太委屈通知,1,"策划司马.垃圾策划脑子有病,你妈只教你道歉连做人都没教你,一出啥事就道歉,好好一游戏被你整成这样,你没妈妈吗,九年义务教育没上完.啥垃圾东西都出就不出好东西,多好一游戏就可惜有个辣鸡策划,天天就知道跟玩家对着干,江如愿好好的削,颜如玉好好的削,游戏才几个月就出来了嘉年华,你nb是吗,祝你成为凉的最快的游戏."
review,由于v不到北方v恶臭fevfwfdd,4,"还好.我刚开始我挺好,好几天不玩了然后我就一直卡在开始见面了加载也很慢我以为是遇到了bug就删除了再下回来也一样.希望官方能够改进但总体很好👍"
review,静熙1111,3,"一直不出满资.系统时常出故障,玩好久都没有满资"
review,LOYEYUM,2,"分享图片到微信返回游戏需要重新登陆.如题,每次登陆完分享图片或是妖灵等任何东西返回游戏都有重新登陆,之前不会这样的,这是个最大的bug,望尽快修复"
review,月🈷️月月月月,3,"非法游戏行为被禁止使用.非法游戏行为（解禁时间为20290909）莫名其妙,不知道为什么被认定非法行为,怎么也登陆不了了."
review,矣乙,5,全世界唯一一个让开挂的都玩不下去的游戏.嘉年华牛逼
review,飞机场先进,3,"服了.能不能把开始画面的声音设置底一点,几款腾讯游戏怎么就你这么突出."
review,龙上恋0801,2,"未知应用如何处理..我是在这里下载的游戏,不是第三方下的,为什么邀请好友上线,提示未知应用的应用请求.给个解决方案"
review,macymacy999,4,"加载太慢.我开始加载的时候非常慢后面还进不去,请改正"
review,vlP我恨你,4,"可以关掉健康系统吗..我是个三年级的学生,之前也下过,昨天又下了一次,你新版本出个健康系统让我很无语,我39级了,我玩游客玩到39级了,你搞个健康系统让我又删了.希望程序员可以改进一下"
review,UMaRu小埋,3,"游戏好,缺点也不少.作为一个未成年人,一开始就被游戏的各种有趣的妖灵吸引住了,并花了很多时间来玩这个游戏.虽然一开始九点钟就下线,但也找到了破解的方法.可自从更新之后,九点以后完全玩不了.两小时限制也就算了,九点这个限制是真的让人受不了,何况16岁以下玩这个游戏的儿童,谁又会九点就上床睡觉.有时候为了开灵石辛辛苦苦出去散步,回到家却发现已经过了九点了,又白走了一天,走的距离也因为不能登陆而不能录入,恳请更改这个灵石机制.或者强制下线时间推迟一下吧,不然只有弃坑了"
review,元气小猥,3,简直是史上bug最多的游戏.然鹅这么敷衍的骗氪游戏我还在玩
review,真·三十二,5,"资源不够用.游戏是个好游戏,但是飞机是在太多了,没有飞机玩起来太难了,作为一个手动挡玩家,现在天气这么冷,外出敲鼓抓妖实在太难了,能不能平衡一点,不然像我们这样的手动玩家,就靠着神行,想要攒资源实在太难了"
review,圈圈jsjfjxhhw,1,"哪些沙雕给的五分,刷的吧.千万别忘的沙茶游戏,我前前后后花了几万块没人家一百块广州抓的云纹高姿多.智障策划实在是无法言语,之前配猫内部人员泄露配方赚钱,后面嘉年华现场盖章人员远程盖章赚钱,这游戏管理真的是一团混乱,再见了您呐,几万块喂狗了就当"
review,kaixuyin,1,"垃圾游戏.跟玩单机一样没事还开始商业活动,一天到晚的就想着挣钱,所有的活动都在广东,不断的劝着大家退游"
