# 未使用数据(仅供参考，非批次文件)
# 这里是当前剩余、尚未进入任何批次的评论。
# 每次运行 01_sampling_data.py 后本文件会被刷新。

[ID:！烨哥] [rating:5] 好游戏呀.多多推广告呀.不然都没人知道..好游戏呀.多多推广告呀.不然都没人知道.

[ID:eereetgdsfvghnhjmjjnggjj] [rating:5] 怀念一下.快两年没玩这个游戏了,讲一下不管这个游戏做的多差多烂,但至少有因为这个游戏的机制帮我治好了脂肪肝,就凭这点我打五星

[ID:七星战川] [rating:4] 游戏卡顿怎么回事.捉妖的时候特别卡,重新进就好了.

[ID:空月光耀] [rating:5] 合并妖灵.把游客号封了,妖灵能不能和并啊.我游客号玩了好久,上古三门也集齐了,就突然封号,我崩了

[ID:评论了的玩家] [rating:1] 游戏为什么凉.挂,你不用挂,别人用,没体验.运气机制.有的人抓一万有十只满资质,我抓一万能出一只算好运.任务,人少了你还要组队.去抢人.不能改一人也能做吗.还有不出省,不开挂就抓不到地域妖怪,你总得偶尔出个活动给其他地域的人得一点

[ID:大家要注意ca] [rating:1] 游戏开屏声音太大了吧.一打开游戏,那么大声的音效,生怕别人不知道我玩的是腾讯游戏,不能调小声点吗

[ID:mlzjkdks] [rating:1] AR实景又没了.做不出来,就把游戏关了吧

[ID:fggxfgn] [rating:5] 好玩.前几年玩过后来删了近几天又开始玩了但是以前的号找不到了而且超高资质的好难抓啊我这种运气不好的根本抓不到😭

[ID:CYMM。YY] [rating:1] 充钱900元左右全买蓝球不给我全满资质.我已经卸载过你一次了,你太让我失望,比王者荣耀还坑钱,比崩坏学园还坑钱,比dnf还坑钱,蓝球丢不准就没了5元,丢球击中瓷娃娃的第一次总是逃跑,这游戏迟早要冷以及倒闭,900元还不如拿去充值王者荣耀,而且王者荣耀还有充值等级,我都vip8了（一起来捉妖,最后充值了30元,没有满资质,已卸载）赶紧倒闭吧,刷你m评分呢,高分不要脸呢

[ID:从旭阳] [rating:5] 游戏是好游戏.其实,偷偷和大家说一个秘密,我最开始接触的游戏,就是这款《一起来捉妖》,然后长大了,觉得老版有点没意思了,又改玩了迷你世界,玩了几年,直到今天.我知道迷你世界于2013年1月1日要彻底清除,于是我就卸了.后面根据我朋友的热情推荐去玩了《漫威超级战争》,结果发现根本打不开,后面又想到了我玩游戏的开始,又想到了没意思,又想到了会更新,于是,我就抱着试试看的态度来玩了玩它,结果发现,哇塞.这会更新的太棒了.加油.捉妖不倒,我们不老.捉妖不散,我们不散.

[ID:一个深入玩了几天的弟弟] [rating:2] 好好地游戏坏在了飞机当.我是开服第一时间开始玩的,前几个月真的很开心,慢慢有了飞机档,开始越玩越累,一天走个几万步,后面又出了嘉年华,跟本就是一起来广州.最后是周末呢个活动,离我家很远,不如又没法抓,我周六周天还上班.直击放弃了.金灵早早就有了,配猫一点没玩,感觉像两个游戏.

[ID:一达江紫] [rating:1] 游戏浪费时间.浪费时间,越是好玩越是浪费时间

[ID:djsjow] [rating:1] 垃圾.无缘无故封我号不给解释不说具体为什么问就涉及公司隐私不给补偿就是不承认误封号了人工客服也找不着没一个会说人话的必须要心悦会员才能找到人工客服这很腾讯😀

[ID:特透火锅] [rating:5] 非常好“玩”.我更新了4G,你跟我说我的客户端版本太低.你还不如直接下架.

[ID:荧光姜丝] [rating:4] 声音问题.IOS打开游戏的时候总是一声巨响(声音突然特别大,进去后才会变成原来的音量),特别是带了耳机简直想死,我发现很多人都有这个问题,希望可以修复一下🙃🙃🙃,但游戏还是可以滴挺好玩的

[ID:不好用，好歌非要用会员，只是比强盗温柔一点] [rating:1] 这个手游.太垃圾了,我真就搞不懂了.我就玩两天,感觉不好玩.就没玩了,今天突然想玩QQ炫舞,才发现被限制.查原因居然是一起来捉妖,被误封,封十年.我玩两天你给我封十年.还是人吗.什么垃圾游戏,说我开挂做脚本的.麻烦你弄清楚行吗.赶紧查一查,把我的QQ账号解封,真是无语了😓

[ID:维尼小熊123] [rating:5] 玩了2年的老玩家总结几点捉妖心得,新玩家如果想玩的可以参考,少走弯路.第一,妖怪满资,大概7个途径,1灵石开的,平时多开石头每天开满,节假日活动up时买幻灵器多开,有人说卡时间玄学,半夜整点之类的概率高,可以自己摸索.2抓的,建议就是多抓,买个飞机抓巢穴和好友星移,开铃铛.（网上也有黑科技可以自动抓,有条件的可以去试试）3氪金的,这个最简单,多氪金抽就行了,抽了一起开,也可以试试卡时间点.4召唤,目前只有六耳和加班和御三家可以召唤,资质随缘看运气.5活动笔记送的满资袋子6养成,不超过15点资质的可以养满,不过只有部分妖7直接买别人的第二,拿擂台,1买个打擂台脚本节约时间和连点器差不多（没有的话你就去问有的大佬要几个台子吧……或者找些没人争的野台子养养老）2养t0妖弄个几十队（可以自己去搜相关攻略）铁溪螃之类的3死磕耗着,万一大佬退游呢,台子也归你了,不过也得看运气第三,配猫,不建议玩比较烧钱,买几只能用的就行,毕竟能出场的也只有三只,套装只有活动时合出所需要的特性才能出,而且限个数,真正的配猫大佬都是买0代猫开始合,0代猫商城100点卷一只,另外配猫有配猫表（可自行搜相关攻略）第四,活动,这个有官方活动公告,上面都会写最近有什么新活动

[ID:极情极剑] [rating:1] 2021回归玩家.这游戏是下线了吧,下载了根本打不开,一直加载中

[ID:这哈是不是很简单] [rating:5] 写给官方.游戏整体来说很不错玩了一年退了一年回归半年现在被防沉迷劝退了还是希望能回到原来的样子……

[ID:1794女] [rating:5] 回忆分.现在比较一言难尽,但它曾经给我带来了很美好的回忆.

[ID:赵慧婷] [rating:4] 在国外不能玩.我们在国外的中国人不能玩.所以我建议把国家给打开这样子,这样我们都能玩了其实我也挺喜欢这游戏的也看上他了就是不能玩.

[ID:苦艾。] [rating:1] 一起来开挂.6星好评,这个是多出来的那颗星.

[ID:醉无为] [rating:5] 好玩.算是很好玩了.体验感不错,抓妖有惊喜.

[ID:饥饿的墨墨] [rating:5] 感谢一起来捉妖.我和他是通过这个游戏认识的,这样写肯定是有一段故事的.故事的开头是很美好的,互不认识,加了好友,聊天,见面,在一起.直到现在我都觉得他是我这一辈子最喜欢的人了,没有其他人可以代替,真的.虽然在一起的日子很短,那时候的我还是一个骄傲的人,每天也是甜甜的,可是每个人都有一些秘密和隐藏,并不是我幻想的样子,猜疑到坦白,也就一晚上的事情,一切都崩塌了,最后分手,最后被我纠缠了一年左右不了了之.现在的我变得很卑微,好想着逃离这个城市,让时间和距离拉开我这浓稠的思念.这种遇到人生最喜欢的人也是件幸福的事情吧,虽然现在状态不好,但是也希望能记录下来,谢谢一起来捉妖.

[ID:飞机场先进] [rating:3] 服了.能不能把开始画面的声音设置底一点,几款腾讯游戏怎么就你这么突出.

[ID:鬼马Z] [rating:1] 这是什么游戏.好好的一个ar探索取代宝可梦的非要加乱七八糟的东西最讨厌的就是配猫这是什么游戏官方能重视下不

[ID:我的世界沒有迷你這樣的兒子] [rating:1] 狗啃的抄襲遊戲快給我糊吧.抄,你就知道抄,除了抄襲不知道你還會做什麼,給中國人丟臉丟到全世界去了.趕緊下架滾吧

[ID:温水煮青蛙被煮死了] [rating:5] 一起来充值.以前妖灵靠抓,现在好的妖灵靠买,谁有钱谁大爷,50级弃游了,玩这么久不如个后期直接充值的我呸

[ID:昕ma的麻麻] [rating:4] 好玩.虽然游戏好玩,但是内存太大了下载的很慢

[ID:巨龙年代定春] [rating:5] 好玩好玩很好玩.总之就是很好玩,许愿来满资质妖灵

[ID:W A N G 3 9 6] [rating:3] 偏要我们充值.本来是挺不错的,但是呢,有一点我就要被气死了.就是如果灵力不足的话,只能用那些什么药水那些的,但是需要点卷,获得点卷的办法只有一个,就是充值.哎我不是我说你,你就不能给小学生一个福利吗..........................

[ID:eeeee。。。。。。。。] [rating:1] 文件损坏怎么回事.每次下载都显示文件损坏.卡退出还玩不了.还说我内存可能有问题.烦死了,删了.什么游戏嘛

[ID:迷路二] [rating:5] 许愿截图满资.许愿截图满资许愿截图满资许愿截图满资

[ID:你懂32] [rating:5] 这是我唯一玩的得手游.这是我唯一玩的手游.不管怎么样.玩到你关服.

[ID:狒狒的公主] [rating:1] iPhone6S不能下载安装.iPhone6S不能下载安装,好垃圾啊

[ID:sora、sama] [rating:1] 开挂游戏,官方不闻不问.玩家充钱获得的珍稀妖灵被外挂秒杀,无限复刻浪费生命的游戏,希望早日官服

[ID:aa9840] [rating:2] 画风突变.冲着萌版造型玩这游戏的,结果后面出的妖灵都变成二次元画风了,实在是恶心不想玩下去了

[ID:🐟🐟-🐟🐟] [rating:1] 优化下内存吧.就这就这的游戏还占这么大内存,用户回归没东西,节奏越拖越长,牛.

[ID:@jj啊凯] [rating:3] 希望官方可以看到.这游戏很好,我也很喜欢,但是这游戏对新手玩家是不是不太友好😨这个行者挑战也太难了吧.还有都这么久了画风还是没啥长进哎资金不够吗.我是老玩家回归,发现这游戏玩的人越来越少了,我希望这游戏可以在试着打打广告我身边的人还有很多不知道这个游戏的,我觉得打打广告,改进画风可以给游戏带来新生机.或者你可以出一个2来次大升级.

[ID:宝贝龙猪] [rating:1] 这游戏全是挂.这游戏全是擂台挂和用虚拟定位的,官方不作为根本不管,充值这个游戏毫无意义,擂台外挂还是游戏策划自己做的,然后内外勾结靠卖外挂赚钱,所以用擂台挂十分稳定根本不会封号

[ID:sm策划0123] [rating:1] 腾讯是放弃捉妖了么..现在的抓妖地图妖不在更新,游戏里充斥着擂台挂,眼睁睁的看着周围的人慢慢的脱坑,好好一个游戏能弄成这样不得不佩服捉妖运维的本事.

[ID:Engine 128] [rating:1] 外挂泛滥,体验极差.玩了两年,现在满地图外挂,擂台都打相同阵容,体验极差

[ID:腾讯的垃圾游戏一起来捉妖] [rating:1] 外挂满天飞.各种外挂,飞机挂,擂台秒杀挂.腾讯竟然能做出这种伪劣商品真的砸自己的牌子.

[ID:铘铘铘铘铘铘铘铘] [rating:5] 给官方.希望可以在泰国可以玩,泰国的中国玩家不少,可是游戏不支持是9问题

[ID:我是小学生：熊子熠] [rating:5] 游戏很好玩..游戏明明很好,玩没有要改进的缺点,不过呢,升级太慢了,除了以外呢,就是要跑要跑好远好远才能看到一些精灵,有时我还要坐轻轨跑那么远去捕捉精灵.

[ID:lyq430] [rating:1] 外挂举报不管,内部员工提交名单恶意封号.赶紧凉

[ID:相守シ此生不离﹎。] [rating:5] 希望越来越好.19年4月13开始接触这游戏,当时爱不释手啊,AR分享,合拍,真的好玩,唯一想说的就是,为什么有些人满资那么多,而我基本没有呢.算了,本来就当收集游戏再玩.疫情期间,版本更新的也慢了,希望明天会更好吧

[ID:的一是齉] [rating:1] 是倒闭了吗..退游两年了,本来想回来在玩亏玩,结果一直在缓存业面动都不动,果然是用心去坑钱,用脚做游戏

[ID:勇者631] [rating:1] 苹果7闪退严重!!.苹果7闪退严重,去年玩也没这样情况,我充了没有10也有800了,就这样对待一个忠实玩家吗..尽快优化

[ID:禁止进口英国牛肉] [rating:5] 图图.满足他的要求施工单位做好相关准备工作了

[ID:捉妖赶紧倒闭吧] [rating:1] 垃圾检测系统.开挂的不封纯陆军买东西说是工作室囤货牟利封号我买东西影响游戏平衡了.垃圾游戏什么时候倒闭

[ID:fjieocjrijd] [rating:1] 尽快关服.没有必要硬撑着了,团队能力有目共睹

[ID:涟漪益生] [rating:3] 过度开发.原本就内存和玩法来说,更像收集养成,但是过多的版面开发和无谓的功能过于增加玩家负担,并且导致内存过大,导致越来越多的玩家退游,希望能好好运营而不是不断无脑出活动,毕竟当时还是蛮不错的,但是逐渐这游戏就变了味

[ID:客服来看] [rating:5] 支持一下模拟摇杆吧.不然真的不知道怎么玩下去了

[ID:koungwai] [rating:1] 太多外掛程式打擂台.戰神殿圈子大部分用外掛程式

[ID:哈喽，开] [rating:4] 一起来捉妖.我想给你一个差评,更新：更新的太慢了

[ID:gjnwpda] [rating:1] 外挂太多.外挂太多,克金的不封,也不知道为什么haha

[ID:稻草人587645] [rating:5] iPhone12聊天频道切换会黑屏.……

[ID:力量天空之城] [rating:1] 我想给零分.我刚刚在玩,但我想给零分.不是因为游戏不好.是因为去年我玩着玩着就被封号了,提示说我作弊.我很纳闷这游戏有什么可值得作弊的地方.你给我封号了我大不了不玩了,可是没这么简单,我最近玩别的游戏提示我腾讯游戏信誉过低不让我键角色.查了很久才想起来,所以又下载来玩,发现已经不是一个账号了.我的天哪.莫名其妙就被扣了个作弊的帽子,还被扣了几百分信誉点,还没处说理.现在我在玩,不知道什么时候又会莫名被封号吧.

[ID:瓜皮哥哥] [rating:1] 垃圾游戏,垃圾运营.没玩两天提示我非法游戏行为就要封号一年,别人满世界乱飞不管,我一啥也没干的新号就随便封号,真就零氪玩家没人权,这游戏怎么还不凉

[ID:山东翔硕阀门] [rating:1] 玩个游戏还要人脸识别.是不是不想让我们玩了.玩个游戏采集个人面部特征

[ID:吴所畏霸霸] [rating:1] 新人谨慎入坑.新人一定要谨慎入坑,这个游戏对新人一点也不友好,尤其是擂台,对于大佬,随随便便占几十个很简单,而新人即使是最强的阵容也会被轻轻松松吊打,所以慎入

[ID:爱豆让你丁墨] [rating:1] 黑屏,进不去,,为啥.黑屏进不去,,我晕,什么情况.

[ID:羽洛千宸] [rating:1] 一星都嫌多.擂台挂越来越猖狂,铺天盖地都是外挂对轰,天天举报也没用

[ID:她菜] [rating:5] 怎么打开摄像头,就是在现实里面捉妖.就是我只到这个游戏能在打开摄像头之后在现实里捉妖,但我为什么找不到打开摄像头就就谁能帮我找一找谁能回复我一下.

